location,listing_title,price,date_created,agent_name,internal_features,external_features,nearby,link
 Milimani,4 Bed Townhouse with Garden at Milimani,6000000.0,2023-06-22,Skybraze homes,Furnished,Garden,"School, Shopping Centre",https://www.buyrentkenya.com/listings/furnished-4-bedroom-townhouse-for-sale-kitengela-3570647
 Karen Hardy,6 Bed Villa with En Suite in Karen Hardy,135000000.0,2023-05-31,Glo Realtors,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included","Balcony, Gym, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Wheelchair Access, Borehole, Garden","Bus Stop, Golf Course, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-karen-hardy-3585874
 Kitengela,4 Bed House with Garden at Kitengela,5800000.0,2023-05-29,Skybraze homes,"Parking, Garden",nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-3599802
 South B,4 Bed House with En Suite in South B,28500000.0,2023-05-24,Pam Golding Properties,En Suite,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-south-b-3591143
a,4 Bed Townhouse with En Suite in Langata,42000000.0,2023-06-20,Hanspace Limited,En Suite,"Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Gym, Staff Quarters, Swimming Pool","Shopping Centre, Hospital, School",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-langata-1-3544242
 Village Market,5 Bed House with En Suite at Village Market,200000000.0,2023-06-28,Pemukika Agency,"En Suite, Service Charge Included, Fibre Internet, Walk In Closet","Balcony, CCTV, Borehole, Garden, Electric Fence, Parking","Bus Stop, Hospital, School, Scenic View",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-hill-view-3510129
 Nandi Road,5 Bed House with En Suite at Nandi Road,200000000.0,2023-07-01,Mapema Properties,"En Suite, Service Charge Included","Garden, Staff Quarters","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-1-3576421
 Mugumo Road,7 Bed House with En Suite at Mugumo Road,130000000.0,2023-06-26,Nairobi Royal Homes,"Aircon, Alarm, Service Charge Included, Walk In Closet, Backup Generator, En Suite, Fibre Internet","Wheelchair Access, Borehole, Garden, Electric Fence, Staff Quarters, CCTV, BBQ, Parking, Gym, Balcony","Shopping Centre, Bus Stop, Hospital, School",https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-runda-1-3586452
 Karen,5 Bed Villa with En Suite in Karen,130000000.0,2023-07-07,Newpoint Properties,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, CCTV, Garden, Gym, Parking, Staff Quarters,  , BBQ, Electric Fence, Borehole","Bus Stop, Golf Course, Hospital, Scenic View,  School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-karen-15-3568299
 Komarock,4 Bed House with En Suite in Komarock,14000000.0,2022-02-02,Tysons Limited,En Suite,Parking,"Bus Stop, Hospital, School",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-komarock-3508468
